Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
FEF	F	N	2023	0000000	20230710	134515	 	0000010750	Y	D	00100
PVF	F	V	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	V	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	V	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	X	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	X	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	X	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	Z	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	Z	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
PVF	F	Z	2023	0000000	20230710	174600	 	0000010500	Y	D	00005
SWF	F	V	2023	0000000	20230710	174500	 	0000010500	Y	D	00005
SWF	F	V	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	V	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	V	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	X	2023	0000000	20230710	174500	 	0000010500	Y	D	00005
SWF	F	X	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	X	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	X	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	Z	2023	0000000	20230710	174500	 	0000010500	Y	D	00005
SWF	F	Z	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	Z	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
SWF	F	Z	2023	0000000	20230710	181400	 	0000010750	Y	D	00005
