Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
FEF	C	H	2024	0012000	20240220	171505	 	0000000400	Y	D	00100
FEF	C	M	2024	0013000	20240220	171959	 	0000000300	Y	D	00100
FEF	C	M	2024	0013000	20240220	182223	 	0000000300	Y	D	00050
FEF	F	N	2024	0000000	20240220	112047	 	0000012080	Y	D	00060
FEF	F	N	2024	0000000	20240220	112047	 	0000012080	Y	D	00060
FEF	F	N	2024	0000000	20240220	130800	 	0000011715	Y	D	00030
FEF	F	Q	2024	0000000	20240220	112047	 	0000012080	Y	D	00060
FEF	F	Q	2024	0000000	20240220	112047	 	0000012080	Y	D	00060
FEF	F	Q	2024	0000000	20240220	130800	 	0000011715	Y	D	00030
FEF	F	U	2024	0000000	20240220	112047	 	0000012080	Y	D	00060
FEF	F	U	2024	0000000	20240220	112047	 	0000012080	Y	D	00060
FEF	F	U	2024	0000000	20240220	130800	 	0000011715	Y	D	00030
