Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
FEF	F	G	2024	0000000	20240216	130639	 	0000013000	Y	D	00050
FEF	F	G	2024	0000000	20240216	130639	 	0000013000	Y	D	00050
FEF	F	H	2024	0000000	20240216	130639	 	0000013020	Y	D	00050
FEF	F	H	2024	0000000	20240216	130639	 	0000013020	Y	D	00050
FEF	F	J	2024	0000000	20240216	115001	 	0000012965	Y	D	00100
HWF	F	H	2024	0000000	20240216	221300	 	0000135500	Y	D	00030
HWF	F	H	2024	0000000	20240216	221300	 	0000135500	Y	D	00030
IU	F	G	2024	0000000	20240216	132004	 	0000120450	Y	D	06506
IU	F	G	2024	0000000	20240216	132004	 	0000120450	Y	D	06506
IU	F	H	2024	0000000	20240216	132102	 	0000120355	Y	D	06506
IU	F	H	2024	0000000	20240216	132102	 	0000120355	Y	D	06506
NK	C	H	2024	0040000	20240216	124044	 	0000028000	Y	D	01200
NK	C	H	2024	0040000	20240216	124044	 	0000028000	Y	D	01200
NK	C	H	2024	0040000	20240216	124044	 	0000028000	Y	D	01200
NK	F	H	2024	0000000	20240216	124044	 	0003870000	Y	D	00042
NK	F	H	2024	0000000	20240216	124044	 	0003870000	Y	D	00042
NK	C	J	2024	0039000	20240216	125833	 	0000093000	Y	D	00400
NK	C	J	2024	0039000	20240216	125833	 	0000093000	Y	D	00400
NK	C	M	2024	0039000	20240216	125833	 	0000143400	Y	D	00400
NK	C	M	2024	0039000	20240216	125833	 	0000143400	Y	D	00400
NK	C	M	2024	0039000	20240216	125833	 	0000143400	Y	D	00400
NK	P	M	2024	0036000	20240216	124000	 	0000076000	Y	D	00250
NK	P	M	2024	0036000	20240216	124000	 	0000076000	Y	D	00250
NK	P	M	2024	0038000	20240216	124000	 	0000146800	Y	D	00200
NK	P	M	2024	0038000	20240216	124000	 	0000146800	Y	D	00200
PVF	F	G	2024	0000000	20240216	224300	 	0000016100	Y	D	00005
TF	F	K	2024	0000000	20240216	120400	 	0000001535	Y	D	00450
