Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
CN	F	G	2024	0000000	20240226	150344	 	0001180322	Y	D	00915
CN	F	G	2024	0000000	20240226	150344	 	0001180322	Y	D	00915
CN	F	G	2024	0000000	20240226	150344	 	0001180322	Y	D	00915
CN	F	G	2024	0000000	20240226	150411	 	0001180321	Y	D	00472
CN	F	G	2024	0000000	20240226	150411	 	0001180321	Y	D	00472
CN	F	G	2024	0000000	20240226	150411	 	0001180321	Y	D	00472
FEF	F	J	2024	0000000	20240226	143538	 	0000011310	Y	D	00050
FEF	F	J	2024	0000000	20240226	143538	 	0000011310	Y	D	00050
FEF	F	J	2024	0000000	20240226	162403	 	0000011450	Y	D	00050
FEF	F	J	2024	0000000	20240226	162437	 	0000011445	Y	D	00050
FEF	F	K	2024	0000000	20240226	143538	 	0000011310	Y	D	00050
FEF	F	K	2024	0000000	20240226	143538	 	0000011310	Y	D	00050
FEF	F	M	2024	0000000	20240226	143538	 	0000011310	Y	D	00050
FEF	F	M	2024	0000000	20240226	143538	 	0000011310	Y	D	00050
SGP	F	G	2024	0000000	20240226	171200	 	0000028160	Y	D	00823
SGP	F	H	2024	0000000	20240226	171200	 	0000028260	Y	D	00411
SGP	F	H	2024	0000000	20240226	171200	 	0000028250	Y	D	00412
ZAXS	F	G	2024	0000000	20240226	182836	 	0000108270	Y	D	00550
ZAXS	F	G	2024	0000000	20240226	182836	 	0000108270	Y	D	00550
ZAXS	F	G	2024	0000000	20240226	182836	 	0000108270	Y	D	00550
ZAXS	F	H	2024	0000000	20240226	182836	 	0000109036	Y	D	00550
ZAXS	F	H	2024	0000000	20240226	182836	 	0000109036	Y	D	00550
ZAXS	F	H	2024	0000000	20240226	182836	 	0000109036	Y	D	00550
ZBAF	F	G	2024	0000000	20240226	182835	 	0000662925	Y	D	00165
ZBAF	F	G	2024	0000000	20240226	182835	 	0000662925	Y	D	00165
ZBAF	F	G	2024	0000000	20240226	182835	 	0000662925	Y	D	00165
ZBAF	F	H	2024	0000000	20240226	182835	 	0000667458	Y	D	00165
ZBAF	F	H	2024	0000000	20240226	182835	 	0000667458	Y	D	00165
ZBAF	F	H	2024	0000000	20240226	182835	 	0000667458	Y	D	00165
ZBHA	F	G	2024	0000000	20240226	182836	 	0000111200	Y	D	00575
ZBHA	F	G	2024	0000000	20240226	182836	 	0000111200	Y	D	00575
ZBHA	F	H	2024	0000000	20240226	182836	 	0000111897	Y	D	00575
ZBHA	F	H	2024	0000000	20240226	182836	 	0000111897	Y	D	00575
ZBJA	F	G	2024	0000000	20240226	182837	 	0000837575	Y	D	00086
ZBJA	F	G	2024	0000000	20240226	182837	 	0000837575	Y	D	00086
ZBJA	F	H	2024	0000000	20240226	182838	 	0000838161	Y	D	00086
ZBJA	F	H	2024	0000000	20240226	182838	 	0000838161	Y	D	00086
ZCIP	F	G	2024	0000000	20240226	182838	 	0000146220	Y	D	00132
ZCIP	F	G	2024	0000000	20240226	182838	 	0000146220	Y	D	00132
ZCIP	F	H	2024	0000000	20240226	182838	 	0000146322	Y	D	00132
ZCIP	F	H	2024	0000000	20240226	182838	 	0000146322	Y	D	00132
ZCIP	F	H	2024	0000000	20240226	182838	 	0000146322	Y	D	00132
ZCOA	F	G	2024	0000000	20240226	182838	 	0000044335	Y	D	00240
